Music_ID,Title,Artist,Album,Duration,Genre,Release_Date
44,OMG,NewJeans,NewJeans 'OMG',0:04:15,Dance,2023.1.2
45,\uadf8\ub300\ub9cc \uc788\ub2e4\uba74 (\uc5ec\ub984\ub0a0 \uc6b0\ub9ac X \ub108\ub4dc\ucee4\ub125\uc158 (Nerd Connection)),\ub108\ub4dc\ucee4\ub125\uc158,\uadf8\ub300\ub9cc \uc788\ub2e4\uba74 (\uc5ec\ub984\ub0a0 \uc6b0\ub9ac X \ub108\ub4dc\ucee4\ub125\uc158 (Nerd Connection)),0:04:26,Ballad,2023.8.15
46,\uc8fc\uc800\ud558\ub294 \uc5f0\uc778\ub4e4\uc744 \uc704\ud574,\uc794\ub098\ube44,\uc804\uc124,0:03:19,Rock/Metal,2019.3.13
47,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),0:03:21,POP,2016.11.11
48,\uc190\uc624\uacf5,\uc138\ube10\ud2f4,SEVENTEEN 10th Mini Album \u2018FML',0:03:20,R&B/Soul,2023.4.24
49,Summer (Feat. BE\u2019O (\ube44\uc624)),Paul Blanco,Summer,0:03:11,Rap/Hip Hop,2022.6.15
50,\ub098\uc5d0\uac8c \uadf8\ub300\ub9cc\uc774,\ud0d1\ud604,\ub098\uc5d0\uac8c \uadf8\ub300\ub9cc\uc774,0:03:52,Ballad,2023.6.11
51,\ub2e4\uc815\ud788 \ub0b4 \uc774\ub984\uc744 \ubd80\ub974\uba74,\uacbd\uc11c\uc608\uc9c0,\ub2e4\uc815\ud788 \ub0b4 \uc774\ub984\uc744 \ubd80\ub974\uba74 (\uacbd\uc11c\uc608\uc9c0 x \uc804\uac74\ud638),0:03:03,Ballad,2021.5.19
52,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,UNFORGIVEN,0:02:58,Dance,2023.5.1
53,Attention,NewJeans,NewJeans 1st EP 'New Jeans',0:03:26,Dance,2022.8.1
54,Do or Die,\uc784\uc601\uc6c5,Do or Die,0:03:25,Dance,2023.10.9
