Music_ID,Title,Artist,Album,Duration,Genre,Release_Date
49,Summer (Feat. BE¡¯O (ºñ¿À)),Paul Blanco,Summer,0:03:11,Rap/Hip Hop,2022.6.15
50,³ª¿¡°Ô ±×´ë¸¸ÀÌ,Å¾Çö,³ª¿¡°Ô ±×´ë¸¸ÀÌ,0:03:52,Ballad,2023.6.11
51,´ÙÁ¤È÷ ³» ÀÌ¸§À» ºÎ¸£¸é,°æ¼­¿¹Áö,´ÙÁ¤È÷ ³» ÀÌ¸§À» ºÎ¸£¸é (°æ¼­¿¹Áö x Àü°ÇÈ£),0:03:03,Ballad,2021.5.19
52,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,UNFORGIVEN,0:02:58,Dance,2023.5.1
53,Attention,NewJeans,NewJeans 1st EP 'New Jeans',0:03:26,Dance,2022.8.1
54,Do or Die,ÀÓ¿µ¿õ,Do or Die,0:03:25,Dance,2023.10.9
55,ÆÄÀÌÆÃ ÇØ¾ßÁö (Feat. ÀÌ¿µÁö),ºÎ¼®¼ø,ºÎ¼®¼ø 1st Single Album 'SECOND WIND',0:03:59,Dance,2023.2.6
56,ÇØ¿ä (2022),#¾È³ç,ÇØ¿ä (2022),0:03:28,Ballad,2022.6.7
57,¿ì¸®µéÀÇ ºí·ç½º,ÀÓ¿µ¿õ,IM HERO,0:03:22,Ballad,2022.5.22
58,3D (feat. Jack Harlow),Á¤±¹,3D (feat. Jack Harlow),0:03:20,Dance,2023.9.29
59,Dynamite,¹æÅº¼Ò³â´Ü,Dynamite (DayTime Version),0:03:41,Dance,2020.8.21
60,¸ð·¡ ¾Ë°»ÀÌ,ÀÓ¿µ¿õ,¸ð·¡ ¾Ë°»ÀÌ,0:02:22,Ballad,2023.6.5
61,STAY,The Kid LAROI,Stay,0:03:46,POP,2021.7.9
62,»ç¶û..±×°Ô ¹ºµ¥,Áö¾Æ,»ç¶û..±×°Ô ¹ºµ¥,0:02:27,Ballad,2023.5.12
63,"ÀÌ»Û ¿©ÀÚ°¡ ÁÁ´õ¶ó (Feat. Gist, Jayci yucca)",¸±·¯¸»Áî,ÀÎ»ýÀº ÇÑ¹øÀÌ¾ß,0:04:00,Rap/Hip Hop,2023.10.26
64,Still With You,Á¤±¹,Still With You,0:02:54,R&B/Soul,2020.6.5
65,²É,Áö¼ö,ME,0:04:35,Dance,2023.3.31
