Music_ID,Title,Artist,Album,Duration,Genre,Release_Date
0,Baddie,IVE,I'VE MINE,0:02:35,Dance,2023.10.13
1,Love Lee,AKMU,Love Lee,0:03:00,Dance,2023.8.21
2,꾨씪댁쓽 轅,AKMU,Love Lee,0:03:25,Dance,2023.8.22
3,You & Me,쒕땲,JENNIE Special Single [You & Me],0:02:40,Dance,2023.10.6
4,Perfect Night,LE SSERAFIM,Perfect Night,0:03:05,Dance,2023.10.27
5,Seven (feat. Latto) - Clean Ver.,뺢뎅,Seven (feat. Latto) - Clean Ver.,0:04:04,Dance,2023.7.14
6,ㅼ뼱吏 留먰빐,諛뺤옱,1吏 Alone,0:02:47,Ballad,2023.4.20
7,Either Way,IVE,I'VE MINE,0:03:30,Dance,2023.10.13
8,"Smoke (Prod. Dynamicduo, Padi)","ㅼ씠섎 , 댁쁺吏",ㅽ듃由 곕㉫ 뚯씠2(SWF2) 怨꾧툒誘몄뀡,0:02:35,Dance,2023.9.5
9,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',0:03:04,Dance,2023.7.21
10,I AM,IVE,I've IVE,0:04:20,Dance,2023.4.10
11,щ쭑먯꽌 苑껋쓣 쇱슦,곕뵒,щ쭑먯꽌 苑껋쓣 쇱슦,0:02:32,Ballad,2023.7.14
12,ETA,NewJeans,NewJeans 2nd EP 'Get Up',0:02:41,Dance,2023.7.21
13,Fast Forward,꾩냼誘,GAME PLAN,0:03:35,Dance,2023.8.7
14,Drama,aespa,Drama - The 4th Mini Album,0:03:26,Dance,2023.11.10
15,뚯븙 ,몃툙,SEVENTEEN 11th Mini Album 쁓EVENTEENTH HEAVEN',0:02:41,Dance,2023.10.23
16,Get A Guitar,RIIZE,Get A Guitar,0:02:42,Dance,2023.9.4
17,몄뭅 (Queencard),(ъ옄)꾩씠,I feel,0:02:31,Dance,2023.5.15
18,I Love My Body,붿궗,I Love My Body,0:02:57,Dance,2023.9.6
19,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',0:04:54,Dance,2022.8.1
20,좎떆쇰룄 곕━,깆떆寃,좎떆쇰룄 곕━,0:03:27,Ballad,2023.10.19
21,Standing Next to You,뺢뎅,GOLDEN,0:03:00,Dance,2023.11.3
22,Bubble,STAYC,TEENFRESH,0:03:09,Dance,2023.8.16
23,Off The Record,IVE,I'VE MINE,0:03:06,Dance,2023.10.13
24,Ditto,NewJeans,NewJeans 'OMG',0:04:19,Dance,2023.1.2
25," 吏댁옄, 곕━ (щ쫫 곕━ X 濡쒖씠)",濡쒖씠," 吏댁옄, 곕━ (щ쫫 곕━ X 濡쒖씠)",0:04:03,Ballad,2023.7.6
26,щ옉  꾨쭩媛,꾩쁺,좎궗 꾧 OST Part.2,0:04:03,Ballad,2021.10.11
27,덉쓽 紐⑤뱺 쒓컙,깆떆寃,蹂꾩뿉  洹몃 OST Part.7,0:03:36,Ballad,2014.2.12
28,몄궗,踰붿쭊,몄궗,0:04:51,Ballad,2021.12.24
29,"혻대뼸寃 대퀎源뚯 щ옉섍쿋,  щ옉섎뒗 嫄곗",AKMU,빐,0:03:18,Ballad,2019.9.25
30,Spicy,aespa,MY WORLD - The 3rd Mini Album,0:03:06,R&B/Soul,2023.5.8
31,"대툕, 꾩떆耳 洹몃━怨 몃Ⅸ 섏뿼 꾨궡",LE SSERAFIM,UNFORGIVEN,0:03:16,Dance,2023.5.1
32,Kitsch,IVE,I've IVE,0:03:12,Dance,2023.4.10
33,혻Steal The Show (From 쒖뿕由щ찘댿),Lauv,혻Steal The Show (From 쒖뿕由щ찘댿),0:05:01,POP,2023.6.2
